"period" "f_Total" "f_New" "m_Total" "m_New"
"1991-1995" 8.90759741483926 8.83405689891762 9.15970976974028 9.17341322925312
"2011-2015" 7.97259670502973 7.9204610554961 8.53872202460374 8.38980701934089
