"country","period","sex","education","age.x","lx","LE","dx","edu","year","age.y","share","age2"
"Denmark","1991-1995","f","Middle","30-34",1e+05,49.8799127018325,247.21104736728,"Medium","1991","30-34",0.40780584443366,"30"
"Denmark","1991-1995","f","Middle","35-39",99752.7889526327,44.9973313521396,438.765877070662,"Medium","1991","30-34",0.40780584443366,"30"
"Denmark","1991-1995","f","Middle","40-44",99314.0230755621,40.1850830742675,809.982232281545,"Medium","1991","30-34",0.40780584443366,"30"
"Denmark","1991-1995","f","Middle","45-49",98504.0408432805,35.4949612016102,1221.0711524097,"Medium","1991","30-34",0.40780584443366,"30"
"Denmark","1991-1995","f","Middle","50-54",97282.9696908708,30.9091055829566,1951.01320679656,"Medium","1991","30-34",0.40780584443366,"30"
"Denmark","1991-1995","f","Middle","55-59",95331.9564840743,26.4905112545677,2999.77126430892,"Medium","1991","30-34",0.40780584443366,"30"
"Denmark","1991-1995","f","Middle","60-64",92332.1852197653,22.2699366099434,4799.24977836211,"Medium","1991","30-34",0.40780584443366,"30"
"Denmark","1991-1995","f","Middle","65-69",87532.9354414032,18.3538813378912,7090.96701137294,"Medium","1991","30-34",0.40780584443366,"30"
"Denmark","1991-1995","f","Middle","70-74",80441.9684300303,14.7514024548315,9931.10625762737,"Medium","1991","30-34",0.40780584443366,"30"
"Denmark","1991-1995","f","Middle","75-79",70510.8621724029,11.4769519068634,13409.9121783129,"Medium","1991","30-34",0.40780584443366,"30"
"Denmark","1991-1995","f","Middle","80-84",57100.94999409,8.58515039940051,17371.6910911093,"Medium","1991","30-34",0.40780584443366,"30"
"Denmark","1991-1995","f","Middle","85-89",39729.2589029808,6.24589353683153,19014.1631395504,"Medium","1991","30-34",0.40780584443366,"30"
"Denmark","1991-1995","f","Middle","90+",20715.0957634304,4.68420884206123,20715.0957634304,"Medium","1991","30-34",0.40780584443366,"30"
"Denmark","1991-1995","f","High","30-34",1e+05,51.1193661551691,201.982750497482,"High","1991","30-34",0.266091649687746,"30"
"Denmark","1991-1995","f","High","35-39",99798.0172495025,46.2177676422339,343.210178760812,"High","1991","30-34",0.266091649687746,"30"
"Denmark","1991-1995","f","High","40-44",99454.8070707417,41.3686339833333,652.587480963339,"High","1991","30-34",0.266091649687746,"30"
"Denmark","1991-1995","f","High","45-49",98802.2195897784,36.6253608468085,983.779816480062,"High","1991","30-34",0.266091649687746,"30"
"Denmark","1991-1995","f","High","50-54",97818.4397732983,31.9685664970826,1620.74382324348,"High","1991","30-34",0.266091649687746,"30"
"Denmark","1991-1995","f","High","55-59",96197.6959500548,27.4650544499207,2850.74820156219,"High","1991","30-34",0.266091649687746,"30"
"Denmark","1991-1995","f","High","60-64",93346.9477484926,23.2274691382591,4220.80958391186,"High","1991","30-34",0.266091649687746,"30"
"Denmark","1991-1995","f","High","65-69",89126.1381645808,19.2090745594146,6257.26678482612,"High","1991","30-34",0.266091649687746,"30"
"Denmark","1991-1995","f","High","70-74",82868.8713797547,15.4707441767873,9054.86149196413,"High","1991","30-34",0.266091649687746,"30"
"Denmark","1991-1995","f","High","75-79",73814.0098877905,12.0618823922433,12686.2580999006,"High","1991","30-34",0.266091649687746,"30"
"Denmark","1991-1995","f","High","80-84",61127.7517878899,9.04632488196247,17167.4782393913,"High","1991","30-34",0.266091649687746,"30"
"Denmark","1991-1995","f","High","85-89",43960.2735484986,6.60281238505069,19834.7843180113,"High","1991","30-34",0.266091649687746,"30"
"Denmark","1991-1995","f","High","90+",24125.4892304873,4.97594185725671,24125.4892304873,"High","1991","30-34",0.266091649687746,"30"
"Denmark","1991-1995","f","Low","30-34",1e+05,47.7469430738021,481.710963499223,"Low","1991","30-34",0.326102505878594,"30"
"Denmark","1991-1995","f","Low","35-39",99518.2890365008,42.9659575761061,766.958306272878,"Low","1991","30-34",0.326102505878594,"30"
"Denmark","1991-1995","f","Low","40-44",98751.3307302279,38.2802389336816,1115.01293480179,"Low","1991","30-34",0.326102505878594,"30"
"Denmark","1991-1995","f","Low","45-49",97636.3177954261,33.6888515290987,1756.18214409209,"Low","1991","30-34",0.326102505878594,"30"
"Denmark","1991-1995","f","Low","50-54",95880.135651334,29.2601200591029,2608.42225686935,"Low","1991","30-34",0.326102505878594,"30"
"Denmark","1991-1995","f","Low","55-59",93271.7133944647,25.0084894223144,3868.78145356318,"Low","1991","30-34",0.326102505878594,"30"
"Denmark","1991-1995","f","Low","60-64",89402.9319409015,20.982511465376,5801.12274138766,"Low","1991","30-34",0.326102505878594,"30"
"Denmark","1991-1995","f","Low","65-69",83601.8091995138,17.2650114328572,7851.19549363607,"Low","1991","30-34",0.326102505878594,"30"
"Denmark","1991-1995","f","Low","70-74",75750.6137058778,13.7953355524114,10657.6807081012,"Low","1991","30-34",0.326102505878594,"30"
"Denmark","1991-1995","f","Low","75-79",65092.9329977765,10.6447234085797,13997.4610180009,"Low","1991","30-34",0.326102505878594,"30"
"Denmark","1991-1995","f","Low","80-84",51095.4719797756,7.87594750724576,16978.2654439643,"Low","1991","30-34",0.326102505878594,"30"
"Denmark","1991-1995","f","Low","85-89",34117.2065358113,5.55126219618521,17438.3556337807,"Low","1991","30-34",0.326102505878594,"30"
"Denmark","1991-1995","f","Low","90+",16678.8509020306,3.74146970037904,16678.8509020306,"Low","1991","30-34",0.326102505878594,"30"
"Denmark","1991-1995","m","Middle","30-34",1e+05,44.5736483459077,581.845592508776,"Medium","1991","30-34",0.487381243062081,"30"
"Denmark","1991-1995","m","Middle","35-39",99418.1544074912,39.8198847299638,802.059251338695,"Medium","1991","30-34",0.487381243062081,"30"
"Denmark","1991-1995","m","Middle","40-44",98616.0951561525,35.1234128585027,1297.74338414475,"Medium","1991","30-34",0.487381243062081,"30"
"Denmark","1991-1995","m","Middle","45-49",97318.3517720078,30.5584471293721,1911.54358960297,"Medium","1991","30-34",0.487381243062081,"30"
"Denmark","1991-1995","m","Middle","50-54",95406.8081824048,26.1206181711055,2949.98866297575,"Medium","1991","30-34",0.487381243062081,"30"
"Denmark","1991-1995","m","Middle","55-59",92456.8195194291,21.8742732955131,4896.7630567748,"Medium","1991","30-34",0.487381243062081,"30"
"Denmark","1991-1995","m","Middle","60-64",87560.0564626543,17.9577722053818,7879.7089326343,"Medium","1991","30-34",0.487381243062081,"30"
"Denmark","1991-1995","m","Middle","65-69",79680.34753002,14.4864144553353,11010.2228924063,"Medium","1991","30-34",0.487381243062081,"30"
"Denmark","1991-1995","m","Middle","70-74",68670.1246376137,11.4082559479852,14492.8096067714,"Medium","1991","30-34",0.487381243062081,"30"
"Denmark","1991-1995","m","Middle","75-79",54177.3150308423,8.79127654081155,16857.7544580154,"Medium","1991","30-34",0.487381243062081,"30"
"Denmark","1991-1995","m","Middle","80-84",37319.5605728269,6.63313195187702,16536.9607179489,"Medium","1991","30-34",0.487381243062081,"30"
"Denmark","1991-1995","m","Middle","85-89",20782.5998548779,4.92191397181509,12706.0641897271,"Medium","1991","30-34",0.487381243062081,"30"
"Denmark","1991-1995","m","Middle","90+",8076.53566515079,3.73208650911484,8076.53566515079,"Medium","1991","30-34",0.487381243062081,"30"
"Denmark","1991-1995","m","High","30-34",1e+05,47.4043741892714,346.850306561479,"High","1991","30-34",0.229229920249882,"30"
"Denmark","1991-1995","m","High","35-39",99653.1496934385,42.5606672517728,509.123718247385,"High","1991","30-34",0.229229920249882,"30"
"Denmark","1991-1995","m","High","40-44",99144.0259751911,37.7663865138875,810.256860302281,"High","1991","30-34",0.229229920249882,"30"
"Denmark","1991-1995","m","High","45-49",98333.7691148889,33.0569767339935,1300.10493456206,"High","1991","30-34",0.229229920249882,"30"
"Denmark","1991-1995","m","High","50-54",97033.6641803268,28.4663941931068,2007.75636538152,"High","1991","30-34",0.229229920249882,"30"
