"Total";"All Denmark";"Men";"40 SHORT-CYCLE HIGHER EDUCATION";"25-29 years";7196;7071;6819;6745;7032
"Total";"All Denmark";"Men";"40 SHORT-CYCLE HIGHER EDUCATION";"30-34 years";11509;10808;10199;8476;7886
"Total";"All Denmark";"Men";"40 SHORT-CYCLE HIGHER EDUCATION";"35-39 years";14897;14420;13887;12361;11728
"Total";"All Denmark";"Men";"40 SHORT-CYCLE HIGHER EDUCATION";"40-44 years";14818;14837;14980;14408;14440
"Total";"All Denmark";"Men";"40 SHORT-CYCLE HIGHER EDUCATION";"45-49 years";12434;13368;14015;13644;13947
"Total";"All Denmark";"Men";"40 SHORT-CYCLE HIGHER EDUCATION";"50-54 years";10182;10466;10823;9625;10446
"Total";"All Denmark";"Men";"40 SHORT-CYCLE HIGHER EDUCATION";"55-59 years";8282;8594;8902;7292;7615
"Total";"All Denmark";"Men";"40 SHORT-CYCLE HIGHER EDUCATION";"60-64 years";8073;7861;7706;5900;6029
"Total";"All Denmark";"Men";"40 SHORT-CYCLE HIGHER EDUCATION";"65-69 years";5745;6752;7308;6126;6056
"Total";"All Denmark";"Men";"50 MEDIUM-CYCLE HIGHER EDUCATION";"15-19 years";0;0;0;0;0
"Total";"All Denmark";"Men";"50 MEDIUM-CYCLE HIGHER EDUCATION";"20-24 years";790;851;955;1208;1391
"Total";"All Denmark";"Men";"50 MEDIUM-CYCLE HIGHER EDUCATION";"25-29 years";9374;9572;10063;11731;13001
"Total";"All Denmark";"Men";"50 MEDIUM-CYCLE HIGHER EDUCATION";"30-34 years";16360;15849;15631;16649;16686
"Total";"All Denmark";"Men";"50 MEDIUM-CYCLE HIGHER EDUCATION";"35-39 years";20902;20386;19654;20475;20171
"Total";"All Denmark";"Men";"50 MEDIUM-CYCLE HIGHER EDUCATION";"40-44 years";21643;21259;21188;21976;22270
"Total";"All Denmark";"Men";"50 MEDIUM-CYCLE HIGHER EDUCATION";"45-49 years";21390;22057;22393;23486;23185
"Total";"All Denmark";"Men";"50 MEDIUM-CYCLE HIGHER EDUCATION";"50-54 years";19504;19401;19662;21818;22275
"Total";"All Denmark";"Men";"50 MEDIUM-CYCLE HIGHER EDUCATION";"55-59 years";20477;19954;19654;21200;21023
"Total";"All Denmark";"Men";"50 MEDIUM-CYCLE HIGHER EDUCATION";"60-64 years";22645;21670;20893;22017;21677
"Total";"All Denmark";"Men";"50 MEDIUM-CYCLE HIGHER EDUCATION";"65-69 years";18969;20501;21609;23654;23599
"Total";"All Denmark";"Men";"60 BACHELOR";"15-19 years";1;0;1;1;0
"Total";"All Denmark";"Men";"60 BACHELOR";"20-24 years";4513;4743;5076;5607;6302
"Total";"All Denmark";"Men";"60 BACHELOR";"25-29 years";10747;11407;11772;12635;13685
"Total";"All Denmark";"Men";"60 BACHELOR";"30-34 years";4913;4897;4710;4587;4555
"Total";"All Denmark";"Men";"60 BACHELOR";"35-39 years";3696;3804;3802;3904;3858
"Total";"All Denmark";"Men";"60 BACHELOR";"40-44 years";2631;2786;2903;2975;3306
"Total";"All Denmark";"Men";"60 BACHELOR";"45-49 years";2080;2378;2496;2400;2400
"Total";"All Denmark";"Men";"60 BACHELOR";"50-54 years";1249;1533;1678;1791;1951
"Total";"All Denmark";"Men";"60 BACHELOR";"55-59 years";962;1152;1200;1315;1349
"Total";"All Denmark";"Men";"60 BACHELOR";"60-64 years";724;996;1023;1092;1155
"Total";"All Denmark";"Men";"60 BACHELOR";"65-69 years";337;508;610;756;826
"Total";"All Denmark";"Men";"65 LONG-CYCLE HIGHER EDUCATION";"15-19 years";0;0;0;0;0
"Total";"All Denmark";"Men";"65 LONG-CYCLE HIGHER EDUCATION";"20-24 years";161;199;170;200;215
"Total";"All Denmark";"Men";"65 LONG-CYCLE HIGHER EDUCATION";"25-29 years";9934;10766;11440;12355;13222
"Total";"All Denmark";"Men";"65 LONG-CYCLE HIGHER EDUCATION";"30-34 years";20593;20564;20884;20461;20814
"Total";"All Denmark";"Men";"65 LONG-CYCLE HIGHER EDUCATION";"35-39 years";22011;22280;22375;22523;22481
"Total";"All Denmark";"Men";"65 LONG-CYCLE HIGHER EDUCATION";"40-44 years";18504;18946;19636;20400;21415
"Total";"All Denmark";"Men";"65 LONG-CYCLE HIGHER EDUCATION";"45-49 years";16099;16979;17956;18393;18669
"Total";"All Denmark";"Men";"65 LONG-CYCLE HIGHER EDUCATION";"50-54 years";14377;14245;14276;14668;15331
"Total";"All Denmark";"Men";"65 LONG-CYCLE HIGHER EDUCATION";"55-59 years";14348;14331;14300;14429;14421
"Total";"All Denmark";"Men";"65 LONG-CYCLE HIGHER EDUCATION";"60-64 years";14189;14059;13926;13881;13844
"Total";"All Denmark";"Men";"65 LONG-CYCLE HIGHER EDUCATION";"65-69 years";10663;11981;12832;13390;13719
"Total";"All Denmark";"Men";"90 NOT STATED";"15-19 years";2489;2448;2018;2374;2601
"Total";"All Denmark";"Men";"90 NOT STATED";"20-24 years";13561;13802;13930;14154;14561
"Total";"All Denmark";"Men";"90 NOT STATED";"25-29 years";15713;16780;18263;19887;21827
"Total";"All Denmark";"Men";"90 NOT STATED";"30-34 years";10848;12580;14539;16765;19871
"Total";"All Denmark";"Men";"90 NOT STATED";"35-39 years";7537;8315;9571;11126;13631
"Total";"All Denmark";"Men";"90 NOT STATED";"40-44 years";6056;6415;7111;7976;9449
"Total";"All Denmark";"Men";"90 NOT STATED";"45-49 years";5988;6072;6240;6615;7250
"Total";"All Denmark";"Men";"90 NOT STATED";"50-54 years";7329;7646;6389;6173;6684
"Total";"All Denmark";"Men";"90 NOT STATED";"55-59 years";1887;2315;4627;6032;6855
"Total";"All Denmark";"Men";"90 NOT STATED";"60-64 years";2693;2374;2106;1975;1979
"Total";"All Denmark";"Men";"90 NOT STATED";"65-69 years";3261;3368;3309;3190;2965
"Total";"All Denmark";"Women";"10 BASIC SCHOOL 8-10 grade";"15-19 years";160077;160546;160271;158304;156375
"Total";"All Denmark";"Women";"10 BASIC SCHOOL 8-10 grade";"20-24 years";43577;43567;43111;41863;40873
"Total";"All Denmark";"Women";"10 BASIC SCHOOL 8-10 grade";"25-29 years";24376;24294;24083;24115;24003
"Total";"All Denmark";"Women";"10 BASIC SCHOOL 8-10 grade";"30-34 years";22820;21491;20697;19668;18858
"Total";"All Denmark";"Women";"10 BASIC SCHOOL 8-10 grade";"35-39 years";27731;26053;24187;22658;21087
"Total";"All Denmark";"Women";"10 BASIC SCHOOL 8-10 grade";"40-44 years";32514;30393;28797;27608;26551
"Total";"All Denmark";"Women";"10 BASIC SCHOOL 8-10 grade";"45-49 years";39679;38209;36619;34362;31964
"Total";"All Denmark";"Women";"10 BASIC SCHOOL 8-10 grade";"50-54 years";48089;45015;43335;41161;39111
"Total";"All Denmark";"Women";"10 BASIC SCHOOL 8-10 grade";"55-59 years";53516;54716;53363;51053;48201
"Total";"All Denmark";"Women";"10 BASIC SCHOOL 8-10 grade";"60-64 years";58180;53026;49544;48865;49806
"Total";"All Denmark";"Women";"10 BASIC SCHOOL 8-10 grade";"65-69 years";67339;67419;66030;63149;58811
"Total";"All Denmark";"Women";"20 GENERAL UPPER SECONDARY SCHOOL";"15-19 years";9146;9815;9981;10842;10905
"Total";"All Denmark";"Women";"20 GENERAL UPPER SECONDARY SCHOOL";"20-24 years";61941;65331;69560;72626;76622
"Total";"All Denmark";"Women";"20 GENERAL UPPER SECONDARY SCHOOL";"25-29 years";16710;16143;16056;16082;16394
"Total";"All Denmark";"Women";"20 GENERAL UPPER SECONDARY SCHOOL";"30-34 years";8862;8370;7871;7392;6913
"Total";"All Denmark";"Women";"20 GENERAL UPPER SECONDARY SCHOOL";"35-39 years";7970;7654;7309;7112;6850
"Total";"All Denmark";"Women";"20 GENERAL UPPER SECONDARY SCHOOL";"40-44 years";8526;8004;7602;7227;6989
"Total";"All Denmark";"Women";"20 GENERAL UPPER SECONDARY SCHOOL";"45-49 years";7911;8374;8614;8570;8328
"Total";"All Denmark";"Women";"20 GENERAL UPPER SECONDARY SCHOOL";"50-54 years";5541;5612;5920;6246;6716
"Total";"All Denmark";"Women";"20 GENERAL UPPER SECONDARY SCHOOL";"55-59 years";4403;4726;4912;5063;5205
"Total";"All Denmark";"Women";"20 GENERAL UPPER SECONDARY SCHOOL";"60-64 years";3077;3111;3302;3585;3921
"Total";"All Denmark";"Women";"20 GENERAL UPPER SECONDARY SCHOOL";"65-69 years";2223;2547;2729;2818;2827
"Total";"All Denmark";"Women";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"15-19 years";1559;1716;1769;1760;1763
"Total";"All Denmark";"Women";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"20-24 years";14167;14472;15027;15201;15147
"Total";"All Denmark";"Women";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"25-29 years";4145;3848;3709;3463;3282
"Total";"All Denmark";"Women";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"30-34 years";2377;2187;2087;2002;1934
"Total";"All Denmark";"Women";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"35-39 years";4657;4293;3811;3214;2490
"Total";"All Denmark";"Women";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"40-44 years";4323;4107;4066;4166;4319
"Total";"All Denmark";"Women";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"45-49 years";4916;5219;5129;4714;4300
"Total";"All Denmark";"Women";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"50-54 years";1923;2346;2900;3649;4338
"Total";"All Denmark";"Women";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"55-59 years";661;753;949;1154;1452
"Total";"All Denmark";"Women";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"60-64 years";509;505;514;556;587
"Total";"All Denmark";"Women";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"65-69 years";386;455;510;506;512
"Total";"All Denmark";"Women";"35 VOCATIONAL EDUCATION";"15-19 years";507;521;497;486;329
"Total";"All Denmark";"Women";"35 VOCATIONAL EDUCATION";"20-24 years";19691;19388;19835;20308;20199
"Total";"All Denmark";"Women";"35 VOCATIONAL EDUCATION";"25-29 years";35974;35281;34784;34802;34966
"Total";"All Denmark";"Women";"35 VOCATIONAL EDUCATION";"30-34 years";49926;46987;44670;41984;40065
"Total";"All Denmark";"Women";"35 VOCATIONAL EDUCATION";"35-39 years";64140;61508;58553;56162;53637
"Total";"All Denmark";"Women";"35 VOCATIONAL EDUCATION";"40-44 years";75336;71282;68898;66778;65040
"Total";"All Denmark";"Women";"35 VOCATIONAL EDUCATION";"45-49 years";78166;81778;83122;81701;79230
"Total";"All Denmark";"Women";"35 VOCATIONAL EDUCATION";"50-54 years";61720;64478;67402;71037;74599
"Total";"All Denmark";"Women";"35 VOCATIONAL EDUCATION";"55-59 years";56811;55031;54735;56062;58610
"Total";"All Denmark";"Women";"35 VOCATIONAL EDUCATION";"60-64 years";71294;68844;65709;62261;58795
"Total";"All Denmark";"Women";"35 VOCATIONAL EDUCATION";"65-69 years";57622;63020;67012;69257;69448
"Total";"All Denmark";"Women";"40 SHORT-CYCLE HIGHER EDUCATION";"15-19 years";0;1;0;1;0
"Total";"All Denmark";"Women";"40 SHORT-CYCLE HIGHER EDUCATION";"20-24 years";2819;3144;3389;3644;3983
"Total";"All Denmark";"Women";"40 SHORT-CYCLE HIGHER EDUCATION";"25-29 years";7301;7296;7272;7202;7100
"Total";"All Denmark";"Women";"40 SHORT-CYCLE HIGHER EDUCATION";"30-34 years";9421;9099;8626;8028;7624
"Total";"All Denmark";"Women";"40 SHORT-CYCLE HIGHER EDUCATION";"35-39 years";11015;10874;10590;10038;9777
"Total";"All Denmark";"Women";"40 SHORT-CYCLE HIGHER EDUCATION";"40-44 years";9730;10109;10403;10568;10905
"Total";"All Denmark";"Women";"40 SHORT-CYCLE HIGHER EDUCATION";"45-49 years";8712;9045;9205;9073;9294
"Total";"All Denmark";"Women";"40 SHORT-CYCLE HIGHER EDUCATION";"50-54 years";7662;7774;8067;8065;8325
"Total";"All Denmark";"Women";"40 SHORT-CYCLE HIGHER EDUCATION";"55-59 years";6505;6893;7118;7142;7297
"Total";"All Denmark";"Women";"40 SHORT-CYCLE HIGHER EDUCATION";"60-64 years";6046;6007;5988;5600;5842
"Total";"All Denmark";"Women";"40 SHORT-CYCLE HIGHER EDUCATION";"65-69 years";4492;5019;5443;4803;4933
"Total";"All Denmark";"Women";"50 MEDIUM-CYCLE HIGHER EDUCATION";"15-19 years";0;0;0;0;0
"Total";"All Denmark";"Women";"50 MEDIUM-CYCLE HIGHER EDUCATION";"20-24 years";2266;2364;2479;3152;3588
"Total";"All Denmark";"Women";"50 MEDIUM-CYCLE HIGHER EDUCATION";"25-29 years";24806;24930;25480;27020;28929
"Total";"All Denmark";"Women";"50 MEDIUM-CYCLE HIGHER EDUCATION";"30-34 years";38491;37273;36111;35308;34260
"Total";"All Denmark";"Women";"50 MEDIUM-CYCLE HIGHER EDUCATION";"35-39 years";43764;43893;43097;43251;42749
"Total";"All Denmark";"Women";"50 MEDIUM-CYCLE HIGHER EDUCATION";"40-44 years";40300;40000;41055;44095;45131
"Total";"All Denmark";"Women";"50 MEDIUM-CYCLE HIGHER EDUCATION";"45-49 years";41809;42231;42515;44777;44572
"Total";"All Denmark";"Women";"50 MEDIUM-CYCLE HIGHER EDUCATION";"50-54 years";40932;40350;40330;41672;42584
"Total";"All Denmark";"Women";"50 MEDIUM-CYCLE HIGHER EDUCATION";"55-59 years";41284;41394;41336;41023;40548
"Total";"All Denmark";"Women";"50 MEDIUM-CYCLE HIGHER EDUCATION";"60-64 years";33971;34743;36334;38542;39618
"Total";"All Denmark";"Women";"50 MEDIUM-CYCLE HIGHER EDUCATION";"65-69 years";22805;25383;27671;30473;31966
"Total";"All Denmark";"Women";"60 BACHELOR";"15-19 years";0;0;0;0;1
"Total";"All Denmark";"Women";"60 BACHELOR";"20-24 years";6047;6317;6937;7816;8378
"Total";"All Denmark";"Women";"60 BACHELOR";"25-29 years";14209;15344;15814;16812;17875
"Total";"All Denmark";"Women";"60 BACHELOR";"30-34 years";5769;5811;5628;5547;5387
"Total";"All Denmark";"Women";"60 BACHELOR";"35-39 years";4814;4786;4625;4687;4654
"Total";"All Denmark";"Women";"60 BACHELOR";"40-44 years";4885;5096;5039;3461;3748
"Total";"All Denmark";"Women";"60 BACHELOR";"45-49 years";2843;3879;4384;2430;2530
"Total";"All Denmark";"Women";"60 BACHELOR";"50-54 years";817;1490;1758;1620;1755
"Total";"All Denmark";"Women";"60 BACHELOR";"55-59 years";472;949;1005;977;1058
"Total";"All Denmark";"Women";"60 BACHELOR";"60-64 years";358;792;815;838;835
"Total";"All Denmark";"Women";"60 BACHELOR";"65-69 years";207;647;661;685;749
"Total";"All Denmark";"Women";"65 LONG-CYCLE HIGHER EDUCATION";"15-19 years";0;0;0;0;0
"Total";"All Denmark";"Women";"65 LONG-CYCLE HIGHER EDUCATION";"20-24 years";138;235;216;212;212
"Total";"All Denmark";"Women";"65 LONG-CYCLE HIGHER EDUCATION";"25-29 years";11540;12524;13476;14825;16215
"Total";"All Denmark";"Women";"65 LONG-CYCLE HIGHER EDUCATION";"30-34 years";23444;23907;24511;24850;25725
"Total";"All Denmark";"Women";"65 LONG-CYCLE HIGHER EDUCATION";"35-39 years";23128;23943;24697;25360;25770
"Total";"All Denmark";"Women";"65 LONG-CYCLE HIGHER EDUCATION";"40-44 years";17740;18705;19868;21022;22757
"Total";"All Denmark";"Women";"65 LONG-CYCLE HIGHER EDUCATION";"45-49 years";13178;14526;15888;16867;17638
"Total";"All Denmark";"Women";"65 LONG-CYCLE HIGHER EDUCATION";"50-54 years";10439;10742;11201;11889;12897
"Total";"All Denmark";"Women";"65 LONG-CYCLE HIGHER EDUCATION";"55-59 years";8915;9345;9608;9993;10339
"Total";"All Denmark";"Women";"65 LONG-CYCLE HIGHER EDUCATION";"60-64 years";7340;7503;7822;8170;8480
"Total";"All Denmark";"Women";"65 LONG-CYCLE HIGHER EDUCATION";"65-69 years";4492;5303;5898;6402;6905
"Total";"All Denmark";"Women";"90 NOT STATED";"15-19 years";2350;2261;1889;2323;2442
"Total";"All Denmark";"Women";"90 NOT STATED";"20-24 years";14816;15836;16021;15857;15804
"Total";"All Denmark";"Women";"90 NOT STATED";"25-29 years";15872;17013;18741;20066;21378
"Total";"All Denmark";"Women";"90 NOT STATED";"30-34 years";9043;10691;12506;14320;16668
"Total";"All Denmark";"Women";"90 NOT STATED";"35-39 years";5680;6502;7537;8541;10129
"Total";"All Denmark";"Women";"90 NOT STATED";"40-44 years";4287;4691;5403;5991;6779
"Total";"All Denmark";"Women";"90 NOT STATED";"45-49 years";4018;4135;4272;4724;5199
"Total";"All Denmark";"Women";"90 NOT STATED";"50-54 years";4727;4953;4239;4176;4493
"Total";"All Denmark";"Women";"90 NOT STATED";"55-59 years";1943;2152;3392;4196;4635
"Total";"All Denmark";"Women";"90 NOT STATED";"60-64 years";2476;2346;2287;2211;2165
"Total";"All Denmark";"Women";"90 NOT STATED";"65-69 years";2744;2846;2854;2784;2719
