"sex","geo","time","LEnew","unit","age","values","diffLE"
"F","DK",2007,51.8502460688993,"YR","Y30",51.2,0.650246068899285
"F","DK",2008,52.2462813549744,"YR","Y30",51.5,0.746281354974414
"F","DK",2009,52.3855085784314,"YR","Y30",51.7,0.685508578431367
"F","DK",2010,52.6287695138977,"YR","Y30",51.9,0.728769513897703
"F","DK",2011,53.0479990822982,"YR","Y30",52.5,0.54799908229819
"F","DK",2012,53.2449860379626,"YR","Y30",52.7,0.544986037962602
"F","DK",2013,53.4185946995577,"YR","Y30",52.9,0.518594699557696
"F","DK",2014,53.865574554146,"YR","Y30",53.3,0.565574554145982
"F","DK",2015,53.7660352567612,"YR","Y30",53.2,0.566035256761197
"F","DK",2016,53.8719365235059,"YR","Y30",53.3,0.571936523505926
"F","EE",2015,52.9914882169375,"YR","Y30",52.9,0.0914882169374849
"F","EE",2016,53.1772472219166,"YR","Y30",53,0.177247221916602
"F","FI",2007,54.2090162194937,"YR","Y30",53.8,0.409016219493708
"F","FI",2008,54.3936768007767,"YR","Y30",53.9,0.493676800776747
"F","FI",2009,54.5100126196559,"YR","Y30",54.1,0.41001261965588
"F","FI",2010,54.5244169007205,"YR","Y30",54.1,0.42441690072048
"F","FI",2011,54.7639121658817,"YR","Y30",54.4,0.363912165881707
"F","FI",2012,54.7035802246651,"YR","Y30",54.3,0.403580224665106
"F","FI",2013,54.9126943230177,"YR","Y30",54.6,0.312694323017688
"F","FI",2014,54.9918507386509,"YR","Y30",54.6,0.391850738650867
"F","FI",2015,55.1174621452012,"YR","Y30",54.8,0.317462145201219
"F","FI",2016,55.0513241603788,"YR","Y30",54.9,0.151324160378756
"F","FI",2017,55.1658838560521,"YR","Y30",55,0.165883856052083
"F","NO",2007,54.1332989158493,"YR","Y30",53.5,0.633298915849252
"F","NO",2008,54.3067982118082,"YR","Y30",53.7,0.606798211808233
"F","NO",2009,54.3223153797208,"YR","Y30",53.8,0.52231537972078
"F","NO",2010,54.4347074667066,"YR","Y30",53.9,0.534707466706564
"F","NO",2011,54.6713495200452,"YR","Y30",54.1,0.571349520045175
"F","NO",2012,54.5103992262282,"YR","Y30",53.9,0.610399226228196
"F","NO",2013,54.7509770658663,"YR","Y30",54.2,0.550977065866313
"F","NO",2014,55.1001192171408,"YR","Y30",54.6,0.500119217140778
"F","NO",2015,55.0387243956897,"YR","Y30",54.6,0.438724395689739
"F","NO",2016,55.0299488795293,"YR","Y30",54.6,0.429948879529306
"F","NO",2017,55.0908207684058,"YR","Y30",54.7,0.390820768405774
"F","SE",2007,54.0276465116279,"YR","Y30",53.6,0.427646511627906
"F","SE",2008,54.2218831242229,"YR","Y30",53.8,0.421883124222902
"F","SE",2009,54.441038255518,"YR","Y30",54,0.441038255517988
"F","SE",2010,54.5656770442954,"YR","Y30",54.1,0.465677044295354
"F","SE",2011,54.7597199078178,"YR","Y30",54.3,0.459719907817771
"F","SE",2012,54.4557197304962,"YR","Y30",54.1,0.35571973049619
"F","SE",2013,54.8455725122713,"YR","Y30",54.3,0.545572512271313
"F","SE",2014,54.9977949303006,"YR","Y30",54.6,0.397794930300549
"F","SE",2015,54.9758491413565,"YR","Y30",54.6,0.375849141356547
"F","SE",2016,55.0284136994918,"YR","Y30",54.6,0.428413699491813
"F","SE",2017,54.9160146874156,"YR","Y30",54.6,0.316014687415553
"F","SI",2011,54.5512518118329,"YR","Y30",53.8,0.751251811832923
"F","SI",2012,54.6972584055105,"YR","Y30",53.7,0.997258405510465
"F","SI",2014,55.0934061166944,"YR","Y30",54.5,0.593406116694382
"F","SI",2015,54.8922168069709,"YR","Y30",54.3,0.59221680697091
"F","SI",2016,55.4561749376841,"YR","Y30",54.7,0.756174937684115
"F","SI",2017,55.2556763570472,"YR","Y30",54.5,0.755676357047193
"F","SK",2011,51.4628136531365,"YR","Y30",50.6,0.86281365313652
"F","SK",2012,51.4601785507246,"YR","Y30",50.6,0.86017855072464
"F","SK",2013,51.8182479532164,"YR","Y30",50.9,0.91824795321638
"F","SK",2014,52.0171938380736,"YR","Y30",51.3,0.717193838073577
"F","SK",2015,51.7821253995112,"YR","Y30",51,0.782125399511187
"F","SK",2016,52.2499952812382,"YR","Y30",51.4,0.849995281238201
"F","SK",2017,52.2012340861421,"YR","Y30",51.4,0.801234086142138
"F","TR",2010,51.8218443973888,"YR","Y30",51.2,0.621844397388791
"F","TR",2011,52.0749787009807,"YR","Y30",51.6,0.474978700980699
"F","TR",2012,52.6933783201809,"YR","Y30",52.2,0.493378320180909
"F","TR",2015,52.8988887604261,"YR","Y30",52.4,0.498888760426127
"F","TR",2016,52.8896253568743,"YR","Y30",52.3,0.589625356874286
"F","TR",2017,53.1737320723086,"YR","Y30",52.5,0.67373207230856
"M","DK",2007,47.5679379157428,"YR","Y30",47.2,0.367937915742793
"M","DK",2008,47.915641652561,"YR","Y30",47.5,0.415641652560971
"M","DK",2009,48.0785981480346,"YR","Y30",47.7,0.378598148034584
"M","DK",2010,48.3586177092003,"YR","Y30",48,0.358617709200331
"M","DK",2011,48.9024781919112,"YR","Y30",48.5,0.402478191911186
"M","DK",2012,49.1744588590723,"YR","Y30",48.8,0.374458859072341
"M","DK",2013,49.320872758085,"YR","Y30",49,0.320872758085009
"M","DK",2014,49.7340231150248,"YR","Y30",49.4,0.33402311502477
"M","DK",2015,49.8222684554129,"YR","Y30",49.5,0.322268455412868
"M","DK",2016,50.0558207922505,"YR","Y30",49.7,0.355820792250476
"M","EE",2015,43.6184549802454,"YR","Y30",44.2,-0.581545019754621
"M","EE",2016,43.7162902551234,"YR","Y30",44.3,-0.583709744876622
"M","FI",2007,47.6182781494989,"YR","Y30",47.1,0.518278149498897
"M","FI",2008,48.1451588633601,"YR","Y30",47.6,0.545158863360143
"M","FI",2009,48.0671227305737,"YR","Y30",47.6,0.467122730573706
"M","FI",2010,48.2564782595982,"YR","Y30",47.9,0.356478259598234
"M","FI",2011,48.6412528427901,"YR","Y30",48.3,0.341252842790119
"M","FI",2012,48.8546037811172,"YR","Y30",48.6,0.254603781117225
"M","FI",2013,49.0527126554617,"YR","Y30",48.9,0.152712655461727
"M","FI",2014,49.3489947599187,"YR","Y30",49.2,0.148994759918722
"M","FI",2015,49.5978853690399,"YR","Y30",49.5,0.0978853690398509
"M","FI",2016,49.4917551704863,"YR","Y30",49.4,0.0917551704863087
"M","FI",2017,49.8879382208519,"YR","Y30",49.7,0.18793822085189
"M","NO",2007,49.7794819285766,"YR","Y30",49.3,0.479481928576568
"M","NO",2008,49.8640718562874,"YR","Y30",49.4,0.464071856287426
"M","NO",2009,49.885031432907,"YR","Y30",49.7,0.185031432906996
"M","NO",2010,50.0564914065623,"YR","Y30",49.9,0.15649140656226
"M","NO",2011,50.2350765999058,"YR","Y30",50,0.235076599905831
"M","NO",2012,50.4452340665539,"YR","Y30",50.3,0.145234066553869
"M","NO",2013,50.6496594544936,"YR","Y30",50.5,0.149659454493616
"M","NO",2014,51.049685736275,"YR","Y30",50.9,0.149685736275011
"M","NO",2015,51.303394489548,"YR","Y30",51.2,0.103394489548037
"M","NO",2016,51.3755681104834,"YR","Y30",51.3,0.075568110483367
"M","NO",2017,51.799084794693,"YR","Y30",51.7,0.0990847946930344
"M","SE",2007,50.4306768617737,"YR","Y30",49.9,0.530676861773735
"M","SE",2008,50.4841360184161,"YR","Y30",50,0.484136018416137
"M","SE",2009,50.6574513007876,"YR","Y30",50.3,0.357451300787645
"M","SE",2010,50.8305004937923,"YR","Y30",50.4,0.43050049379233
"M","SE",2011,51.1277819548872,"YR","Y30",50.6,0.527781954887224
"M","SE",2012,51.1197956265476,"YR","Y30",50.7,0.419795626547625
"M","SE",2013,51.419848661234,"YR","Y30",51,0.419848661233999
"M","SE",2014,51.5870975996724,"YR","Y30",51.2,0.387097599672444
"M","SE",2015,51.5504673820025,"YR","Y30",51.2,0.350467382002492
"M","SE",2016,51.6698199616002,"YR","Y30",51.4,0.269819961600206
"M","SE",2017,51.8885096614318,"YR","Y30",51.5,0.388509661431804
"M","SI",2011,48.2169304087493,"YR","Y30",47.6,0.616930408749312
"M","SI",2012,48.4138807607901,"YR","Y30",47.8,0.61388076079006
"M","SI",2014,49.3844606221046,"YR","Y30",48.8,0.584460622104565
"M","SI",2015,49.1255226123787,"YR","Y30",48.5,0.625522612378745
"M","SI",2016,49.6060843081609,"YR","Y30",49,0.606084308160874
"M","SI",2017,49.4678179190751,"YR","Y30",48.9,0.567817919075146
"M","SK",2011,44.5118363023175,"YR","Y30",43.5,1.01183630231754
"M","SK",2012,44.6518745709414,"YR","Y30",43.8,0.851874570941384
"M","SK",2013,44.8733242494835,"YR","Y30",44.1,0.773324249483537
"M","SK",2014,45.1883047712433,"YR","Y30",44.4,0.78830477124329
"M","SK",2015,45.1385942061532,"YR","Y30",44.3,0.838594206153161
"M","SK",2016,45.7536939165636,"YR","Y30",44.9,0.853693916563593
"M","SK",2017,45.6325985537672,"YR","Y30",44.9,0.732598553767204
"M","TR",2010,46.8822227676062,"YR","Y30",46.3,0.582222767606183
"M","TR",2011,46.9267087849676,"YR","Y30",46.4,0.526708784967589
"M","TR",2012,47.3986646824539,"YR","Y30",46.8,0.598664682453887
"M","TR",2015,47.9498068400584,"YR","Y30",47.2,0.749806840058397
"M","TR",2016,47.9151696652692,"YR","Y30",47.2,0.715169665269215
"M","TR",2017,48.252969899352,"YR","Y30",47.4,0.852969899352026
