"sex","geo","time","edu","prevnew"
"F","NO",2011,"ED3_4",0.324783057456325
"F","NO",2011,"ED5-8",0.473489047746473
"F","NO",2012,"ED0-2",0.204811398678414
"F","NO",2012,"ED3_4",0.310435022026432
"F","NO",2012,"ED5-8",0.484753579295154
"F","NO",2013,"ED0-2",0.209191550868894
"F","NO",2013,"ED3_4",0.294175618409382
"F","NO",2013,"ED5-8",0.496632830721724
"F","NO",2014,"ED0-2",0.214676506139067
"F","NO",2014,"ED3_4",0.278675488262612
"F","NO",2014,"ED5-8",0.50664800559832
"F","NO",2015,"ED0-2",0.206603363743561
"F","NO",2015,"ED3_4",0.270930304722895
"F","NO",2015,"ED5-8",0.522466331533544
"F","NO",2016,"ED0-2",0.210998877665544
"F","NO",2016,"ED3_4",0.306852306852307
"F","NO",2016,"ED5-8",0.482148815482149
"F","NO",2017,"ED0-2",0.197235333782873
"F","NO",2017,"ED3_4",0.257708575982345
"F","NO",2017,"ED5-8",0.545056090234782
"F","NO",2018,"ED0-2",0.192575406032483
"F","NO",2018,"ED3_4",0.250768169561673
"F","NO",2018,"ED5-8",0.556656424405844
"F","NO",2019,"ED0-2",0.190581124472707
"F","NO",2019,"ED3_4",0.241516086381666
"F","NO",2019,"ED5-8",0.567902789145627
"F","NO",2020,"ED0-2",0.173585138936111
"F","NO",2020,"ED3_4",0.244923191048744
"F","NO",2020,"ED5-8",0.581491670015145
"F","SE",2007,"ED0-2",0.101176104057948
"F","SE",2007,"ED3_4",0.51433133421606
"F","SE",2007,"ED5-8",0.384492561725991
"F","SE",2008,"ED0-2",0.106913714663452
"F","SE",2008,"ED3_4",0.508379671034724
"F","SE",2008,"ED5-8",0.384706614301824
"F","SE",2009,"ED0-2",0.102932341027579
"F","SE",2009,"ED3_4",0.520863616101711
"F","SE",2009,"ED5-8",0.37620404287071
"F","SE",2010,"ED0-2",0.0991368773387992
"F","SE",2010,"ED3_4",0.525921886458941
"F","SE",2010,"ED5-8",0.37494123620226
"F","SE",2011,"ED0-2",0.0981923717730522
"F","SE",2011,"ED3_4",0.537451405435425
"F","SE",2011,"ED5-8",0.364356222791523
"F","SE",2012,"ED0-2",0.0952167000760351
"F","SE",2012,"ED3_4",0.536652381281537
"F","SE",2012,"ED5-8",0.368130918642428
"F","SE",2013,"ED0-2",0.0924141173310051
"F","SE",2013,"ED3_4",0.539272641794553
"F","SE",2013,"ED5-8",0.368313240874442
"F","SE",2014,"ED0-2",0.130639322563669
"F","SE",2014,"ED3_4",0.498030522908128
"F","SE",2014,"ED5-8",0.371330154528203
"F","SE",2015,"ED0-2",0.123678075741435
"F","SE",2015,"ED3_4",0.503913667731925
"F","SE",2015,"ED5-8",0.372408256526639
"F","SE",2016,"ED0-2",0.121205930422601
"F","SE",2016,"ED3_4",0.511119542376839
"F","SE",2016,"ED5-8",0.36767452720056
"F","SE",2017,"ED0-2",0.121096155537961
"F","SE",2017,"ED3_4",0.505894255300431
"F","SE",2017,"ED5-8",0.373009589161608
"F","SE",2018,"ED0-2",0.117909280115725
"F","SE",2018,"ED3_4",0.507874887448891
"F","SE",2018,"ED5-8",0.374215832435385
"F","SE",2019,"ED0-2",0.119884769918884
"F","SE",2019,"ED3_4",0.505405200515503
"F","SE",2019,"ED5-8",0.374710029565613
"F","SE",2020,"ED0-2",0.117647058823529
"F","SE",2020,"ED3_4",0.497347480106101
"F","SE",2020,"ED5-8",0.38500546107037
"F","SI",2011,"ED0-2",0.0655775075987842
"F","SI",2011,"ED3_4",0.673404255319149
"F","SI",2011,"ED5-8",0.261018237082067
"F","SI",2012,"ED0-2",0.0635493488153146
"F","SI",2012,"ED3_4",0.623646634238192
"F","SI",2012,"ED5-8",0.312804016946493
"F","SI",2014,"ED0-2",0.0662406483790524
"F","SI",2014,"ED3_4",0.569903366583541
"F","SI",2014,"ED5-8",0.363855985037406
"F","SI",2015,"ED0-2",0.0547759932375317
"F","SI",2015,"ED3_4",0.537278106508876
"F","SI",2015,"ED5-8",0.407945900253593
"F","SI",2016,"ED0-2",0.0515645658880564
"F","SI",2016,"ED3_4",0.500749228735126
"F","SI",2016,"ED5-8",0.447686205376818
"F","SI",2017,"ED0-2",0.0575763114604277
"F","SI",2017,"ED3_4",0.472948272710656
"F","SI",2017,"ED5-8",0.469475415828916
"F","SI",2018,"ED0-2",0.0691080921441229
"F","SI",2018,"ED3_4",0.466528844260681
"F","SI",2018,"ED5-8",0.464363063595196
"F","SI",2019,"ED0-2",0.0646432794639338
"F","SI",2019,"ED3_4",0.458415451320457
"F","SI",2019,"ED5-8",0.476941269215609
"F","SI",2020,"ED0-2",0.0660340442183526
"F","SI",2020,"ED3_4",0.465173155938173
"F","SI",2020,"ED5-8",0.468792799843475
"F","SK",2011,"ED0-2",0.0748665605393763
"F","SK",2011,"ED3_4",0.517745107219777
"F","SK",2011,"ED5-8",0.407388332240847
"F","SK",2012,"ED0-2",0.0719916559536226
"F","SK",2012,"ED3_4",0.499624032794043
"F","SK",2012,"ED5-8",0.428384311252335
"F","SK",2013,"ED0-2",0.0786455488803932
"F","SK",2013,"ED3_4",0.470135544411896
"F","SK",2013,"ED5-8",0.451218906707711
"F","SK",2014,"ED0-2",0.0747177023866408
"F","SK",2014,"ED3_4",0.44546437643035
"F","SK",2014,"ED5-8",0.479817921183009
"F","SK",2015,"ED0-2",0.0752423409880255
"F","SK",2015,"ED3_4",0.441967756985123
"F","SK",2015,"ED5-8",0.482789902026852
"F","SK",2016,"ED0-2",0.0701236245785526
"F","SK",2016,"ED3_4",0.489584694597632
"F","SK",2016,"ED5-8",0.440291680823815
"F","SK",2017,"ED0-2",0.0608546103982008
"F","SK",2017,"ED3_4",0.513639370287075
"F","SK",2017,"ED5-8",0.425506019314724
"F","SK",2018,"ED0-2",0.0211873819837832
"F","SK",2018,"ED3_4",0.548761523936466
"F","SK",2018,"ED5-8",0.430051094079751
"F","SK",2019,"ED0-2",0.0156732704135136
"F","SK",2019,"ED3_4",0.550803503103478
"F","SK",2019,"ED5-8",0.433523226483009
"F","SK",2020,"ED0-2",0.0683039851714551
"F","SK",2020,"ED3_4",0.516002471424158
"F","SK",2020,"ED5-8",0.415693543404387
"F","SM",2012,"ED0-2",0.231788079470199
"F","SM",2012,"ED3_4",0.529801324503311
"F","SM",2012,"ED5-8",0.23841059602649
"F","TR",2009,"ED0-2",0.551509029530823
"F","TR",2009,"ED3_4",0.33113507700121
"F","TR",2009,"ED5-8",0.117355893467967
"F","TR",2010,"ED0-2",0.552179278242623
"F","TR",2010,"ED3_4",0.296391560232359
"F","TR",2010,"ED5-8",0.151429161525017
"F","TR",2011,"ED0-2",0.538816954500109
"F","TR",2011,"ED3_4",0.311234651855585
"F","TR",2011,"ED5-8",0.149948393644306
"F","TR",2012,"ED0-2",0.498983577235499
"F","TR",2012,"ED3_4",0.301241770512456
"F","TR",2012,"ED5-8",0.199774652252046
"F","TR",2013,"ED0-2",0.461989578686996
"F","TR",2013,"ED3_4",0.309059175756593
"F","TR",2013,"ED5-8",0.228951245556412
"F","TR",2014,"ED0-2",0.422223880065583
"F","TR",2014,"ED3_4",0.291314351403638
"F","TR",2014,"ED5-8",0.28646176853078
"F","TR",2015,"ED0-2",0.411959126569738
"F","TR",2015,"ED3_4",0.263921800947867
"F","TR",2015,"ED5-8",0.324119072482395
"F","TR",2016,"ED0-2",0.389571438772838
"F","TR",2016,"ED3_4",0.236657406053517
"F","TR",2016,"ED5-8",0.373771155173645
"F","TR",2017,"ED0-2",0.409383474590671
"F","TR",2017,"ED3_4",0.194309832734094
"F","TR",2017,"ED5-8",0.396306692675235
"F","TR",2018,"ED0-2",0.398940102065499
"F","TR",2018,"ED3_4",0.1942255353195
"F","TR",2018,"ED5-8",0.406834362615001
"F","TR",2020,"ED0-2",0.353264099920483
"F","TR",2020,"ED3_4",0.211889619609299
"F","TR",2020,"ED5-8",0.434846280470218
"M","DK",2007,"ED0-2",0.265508416537505
"M","DK",2007,"ED3_4",0.568071225173918
"M","DK",2007,"ED5-8",0.166420358288577
"M","DK",2008,"ED0-2",0.287112266637779
"M","DK",2008,"ED3_4",0.612212472465966
"M","DK",2008,"ED5-8",0.100675260896255
"M","DK",2009,"ED0-2",0.265010578536514
"M","DK",2009,"ED3_4",0.557197052600861
"M","DK",2009,"ED5-8",0.177792368862625
"M","DK",2010,"ED0-2",0.264253913543013
"M","DK",2010,"ED3_4",0.548398678730432
"M","DK",2010,"ED5-8",0.187347407726555
"M","DK",2011,"ED0-2",0.264227501300503
"M","DK",2011,"ED3_4",0.542188312814288
"M","DK",2011,"ED5-8",0.193584185885209
"M","DK",2012,"ED0-2",0.26488823351989
"M","DK",2012,"ED3_4",0.526257582358658
"M","DK",2012,"ED5-8",0.208854184121452
"M","DK",2013,"ED0-2",0.265494606986179
"M","DK",2013,"ED3_4",0.517498433222285
"M","DK",2013,"ED5-8",0.217006959791536
"M","DK",2014,"ED0-2",0.252952632240231
"M","DK",2014,"ED3_4",0.518469656992084
"M","DK",2014,"ED5-8",0.228577710767684
"M","DK",2015,"ED0-2",0.239806412583182
"M","DK",2015,"ED3_4",0.514337568058076
"M","DK",2015,"ED5-8",0.245856019358742
"M","DK",2016,"ED0-2",0.225863387656645
"M","DK",2016,"ED3_4",0.524680826028123
"M","DK",2016,"ED5-8",0.249455786315232
"M","DK",2017,"ED0-2",0.218175891904705
"M","DK",2017,"ED3_4",0.525008889415669
"M","DK",2017,"ED5-8",0.256815218679625
"M","DK",2018,"ED0-2",0.223851741375977
"M","DK",2018,"ED3_4",0.524152788134891
"M","DK",2018,"ED5-8",0.251995470489132
"M","DK",2019,"ED0-2",0.218373663477772
"M","DK",2019,"ED3_4",0.522003376477209
"M","DK",2019,"ED5-8",0.25962296004502
"M","DK",2020,"ED0-2",0.22496131476442
"M","DK",2020,"ED3_4",0.507310175550931
"M","DK",2020,"ED5-8",0.267728509684649
"M","EE",2015,"ED0-2",0.252961001444391
"M","EE",2015,"ED3_4",0.545787193066923
"M","EE",2015,"ED5-8",0.201251805488686
"M","EE",2016,"ED0-2",0.228516023678302
"M","EE",2016,"ED3_4",0.57103490508267
"M","EE",2016,"ED5-8",0.200449071239028
"M","EE",2017,"ED0-2",0.21573398215734
"M","EE",2017,"ED3_4",0.56633066852045
"M","EE",2017,"ED5-8",0.217935349322211
"M","EE",2018,"ED0-2",0.209717460692753
"M","EE",2018,"ED3_4",0.566024352760374
"M","EE",2018,"ED5-8",0.224258186546873
"M","EE",2019,"ED0-2",0.209062959497393
"M","EE",2019,"ED3_4",0.564363053067772
"M","EE",2019,"ED5-8",0.226573987434835
"M","EE",2020,"ED0-2",0.22579714326937
