"Country"	"Period"	"Sex"	"Education"	"AgeGrp"	"mx"	"ax"	"qx"	"px"	"lx"	"dx"	"Lx"	"Tx"	"ex"
"Denmark"	"1991-1995"	"Male"	"Middle"	"70-74"	0.0471896187527716	2.5	0.211049705869225	0.788950294130775	68670.1246376137	14492.8096067714	307118.59917114	783406.357845941	11.4082559479852
"Denmark"	"1991-1995"	"Male"	"Middle"	"75-79"	0.0736976179647358	2.5	0.311158913069401	0.688841086930599	54177.3150308423	16857.7544580154	228742.189009173	476287.758674801	8.79127654081155
"Denmark"	"1991-1995"	"Male"	"Middle"	"80-84"	0.113847475523913	2.5	0.443117776954476	0.556882223045524	37319.5605728269	16536.9607179489	145255.401069262	247545.569665628	6.63313195187702
"Denmark"	"1991-1995"	"Male"	"Middle"	"85-89"	0.176111501065705	2.5	0.611379917741373	0.388620082258627	20782.5998548779	12706.0641897271	72147.8388000718	102290.168596366	4.92191397181509
"Denmark"	"1991-1995"	"Male"	"Middle"	"90+"	0.267946629199969	3.73208650911484	1	0	8076.53566515079	8076.53566515079	30142.3297962941	30142.3297962941	3.73208650911484
"Denmark"	"1991-1995"	"Male"	"High"	"30-34"	0.000694905754492837	2.5	0.00346850306561476	0.996531496934385	1e+05	346.850306561479	499132.874233596	4740437.41892714	47.4043741892714
"Denmark"	"1991-1995"	"Male"	"High"	"35-39"	0.00102440835295575	2.5	0.00510895761763275	0.994891042382367	99653.1496934385	509.123718247385	496992.939171574	4241304.54469354	42.5606672517728
"Denmark"	"1991-1995"	"Male"	"High"	"40-44"	0.00164121107374666	2.5	0.00817252327946652	0.991827476720534	99144.0259751911	810.256860302281	493694.4877252	3744311.60552197	37.7663865138875
"Denmark"	"1991-1995"	"Male"	"High"	"45-49"	0.0026618662335549	2.5	0.0132213475214509	0.986778652478549	98333.7691148889	1300.10493456206	488418.583238039	3250617.11779677	33.0569767339935
"Denmark"	"1991-1995"	"Male"	"High"	"50-54"	0.00418152835502715	2.5	0.0206913382313412	0.979308661768659	97033.6641803268	2007.75636538152	480148.92998818	2762198.53455873	28.4663941931068
"Denmark"	"1991-1995"	"Male"	"High"	"55-59"	0.0075299473859116	2.5	0.0369540812115145	0.963045918788486	95025.9078149453	3511.59511459137	466350.551288248	2282049.60457055	24.0150255550796
"Denmark"	"1991-1995"	"Male"	"High"	"60-64"	0.0136794100846829	2.5	0.066135320014514	0.933864679985486	91514.3127003539	6052.32835634622	442440.742610904	1815699.0532823	19.8406019747693
"Denmark"	"1991-1995"	"Male"	"High"	"65-69"	0.02263886189394	2.5	0.107130999702631	0.892869000297369	85461.9843440077	9155.62781934417	404420.852171678	1373258.3106714	16.0686452720739
"Denmark"	"1991-1995"	"Male"	"High"	"70-74"	0.0372877901156209	2.5	0.170541190302898	0.829458809697102	76306.3565246635	13013.3768693934	348998.340449834	968837.458499718	12.6966808877393
"Denmark"	"1991-1995"	"Male"	"High"	"75-79"	0.0602424483486605	2.5	0.261785711269393	0.738214288730607	63292.9796552701	16569.1976974141	275041.904032815	619839.118049884	9.79317329387688
"Denmark"	"1991-1995"	"Male"	"High"	"80-84"	0.0961288256531273	2.5	0.387515583383323	0.612484416616677	46723.781957856	18106.1936232738	188353.425731096	344797.214017069	7.37947999004167
"Denmark"	"1991-1995"	"Male"	"High"	"85-89"	0.153414889767357	2.5	0.554429931698618	0.445570068301382	28617.5883345823	15866.4475457216	103421.822808607	156443.788285973	5.46670063378199
"Denmark"	"1991-1995"	"Male"	"High"	"90+"	0.240487893537329	4.15821347715692	1	0	12751.1407888607	12751.1407888607	53021.9654773656	53021.9654773656	4.15821347715692
"Denmark"	"1991-1995"	"Male"	"Low"	"30-34"	0.00260496877731555	2.5	0.0129405694382097	0.98705943056179	1e+05	1294.05694382096	496764.857640448	4226408.05881372	42.2640805881372
"Denmark"	"1991-1995"	"Male"	"Low"	"35-39"	0.00337903134870526	2.5	0.0167536291482847	0.983246370851715	98705.943056179	1653.68276469492	489395.508369158	3729643.20117328	37.7853965596634
"Denmark"	"1991-1995"	"Male"	"Low"	"40-44"	0.00460697865126093	2.5	0.0227726109253878	0.977227389074612	97052.2602914841	2210.13336304744	479735.968049802	3240247.69280412	33.3866278134321
"Denmark"	"1991-1995"	"Male"	"Low"	"45-49"	0.00573924527649226	2.5	0.0282903137584398	0.97170968624156	94842.1269284367	2683.11352832326	467502.850821375	2760511.72475432	29.1063877852219
"Denmark"	"1991-1995"	"Male"	"Low"	"50-54"	0.00833350054801753	2.5	0.0408171288264778	0.959182871173522	92159.0134001134	3761.66632247351	451390.901194383	2293008.87393294	24.8810050079173
"Denmark"	"1991-1995"	"Male"	"Low"	"55-59"	0.0133529722425354	2.5	0.0646080862566075	0.935391913743393	88397.3470776399	5711.18342484743	427708.776826081	1841617.97273856	20.8334077166485
"Denmark"	"1991-1995"	"Male"	"Low"	"60-64"	0.0212962253023384	2.5	0.101098581109078	0.898901418890922	82686.1636527925	8359.45382265032	392532.183707337	1413909.19591248	17.0997072962488
"Denmark"	"1991-1995"	"Male"	"Low"	"65-69"	0.0333736334216257	2.5	0.154017830564033	0.845982169435967	74326.7098301422	11447.6386010009	343014.452648208	1021377.01220514	13.7417223840431
"Denmark"	"1991-1995"	"Male"	"Low"	"70-74"	0.0522795064845096	2.5	0.231182292078052	0.768817707921948	62879.0712291413	14536.527810492	278054.036619476	678362.559556932	10.7883679942547
"Denmark"	"1991-1995"	"Male"	"Low"	"75-79"	0.0806141330780555	2.5	0.335463015046056	0.664536984953944	48342.5434186493	16217.135370215	201169.878667709	400308.522937456	8.280667392089
"Denmark"	"1991-1995"	"Male"	"Low"	"80-84"	0.122952961958241	2.5	0.470225702509966	0.529774297490034	32125.4080484343	15106.1925679943	122861.558822186	199138.644269747	6.19878956773133
"Denmark"	"1991-1995"	"Male"	"Low"	"85-89"	0.202424064809194	2.5	0.672031801629	0.327968198371	17019.21548044	11437.4540416322	56502.4422981193	76277.0854475612	4.48182147615592
"Denmark"	"1991-1995"	"Male"	"Low"	"90+"	0.28226863041851	3.5427245263398	1	0	5581.76143880774	5581.76143880774	19774.6431494419	19774.6431494419	3.5427245263398
"Denmark"	"1996-2000"	"Female"	"Middle"	"30-34"	0.000374405122717862	2.5	0.00187027501222564	0.998129724987774	1e+05	187.027501222561	499532.431246944	5081047.53880945	50.8104753880945
"Denmark"	"1996-2000"	"Female"	"Middle"	"35-39"	0.000653699761074029	2.5	0.00326316597831922	0.996736834021681	99812.9724987774	325.706296052915	498250.596753755	4581515.1075625	45.9009985662798
"Denmark"	"1996-2000"	"Female"	"Middle"	"40-44"	0.00129527895716385	2.5	0.00645549063288188	0.993544509367118	99487.2662027245	642.239115062723	495830.733225966	4083264.51080875	41.0430868859971
"Denmark"	"1996-2000"	"Female"	"Middle"	"45-49"	0.00226279603841496	2.5	0.0112503371462613	0.988749662853739	98845.0270876618	1112.03987996753	491445.03573839	3587433.77758278	36.2935180785699
"Denmark"	"1996-2000"	"Female"	"Middle"	"50-54"	0.00363200678088461	2.5	0.0179966242511401	0.98200337574886	97732.9872076943	1758.86384771836	484267.776419175	3095988.74184439	31.6780324668175
"Denmark"	"1996-2000"	"Female"	"Middle"	"55-59"	0.00572241947743804	2.5	0.0282085445749259	0.971791455425074	95974.1233599759	2707.2903368393	473102.390957781	2611720.96542522	27.2127618777957
"Denmark"	"1996-2000"	"Female"	"Middle"	"60-64"	0.00985555830825776	2.5	0.0480928371396894	0.951907162860311	93266.8330231366	4485.46661111632	455120.498587892	2138618.57446744	22.9301082190377
"Denmark"	"1996-2000"	"Female"	"Middle"	"65-69"	0.0163371915370167	2.5	0.0784805771336629	0.921519422866337	88781.3664120203	6967.61287473055	426487.799873275	1683498.07587954	18.9622906688178
"Denmark"	"1996-2000"	"Female"	"Middle"	"70-74"	0.0243251350486125	2.5	0.11465328371757	0.88534671628243	81813.7535372897	9380.21549631025	385618.228945673	1257010.27600627	15.3642904971148
"Denmark"	"1996-2000"	"Female"	"Middle"	"75-79"	0.0388515992713682	2.5	0.177060306198606	0.822939693801394	72433.5380409795	12825.1044245842	330104.929143437	871392.047060597	12.0302289606177
"Denmark"	"1996-2000"	"Female"	"Middle"	"80-84"	0.0662199530415293	2.5	0.284071724556287	0.715928275443713	59608.4336163953	16933.0705355084	255709.491743205	541287.11791716	9.08071366881681
"Denmark"	"1996-2000"	"Female"	"Middle"	"85-89"	0.114111838478509	2.5	0.443918345923401	0.556081654076599	42675.3630808869	18944.3765905479	166015.873928065	285577.626173954	6.69186166343027
"Denmark"	"1996-2000"	"Female"	"Middle"	"90+"	0.198483093837016	5.03821247778992	1	0	23730.986490339	23730.986490339	119561.75224589	119561.75224589	5.03821247778992
"Denmark"	"1996-2000"	"Female"	"High"	"30-34"	0.000389401639988371	2.5	0.00194511462288157	0.998054885377118	1e+05	194.511462288167	499513.72134428	5232860.14187414	52.3286014187414
"Denmark"	"1996-2000"	"Female"	"High"	"35-39"	0.000505930882625055	2.5	0.0025264588791986	0.997473541120801	99805.4885377118	252.154462708844	498397.056531787	4733346.42052986	47.4257126524795
"Denmark"	"1996-2000"	"Female"	"High"	"40-44"	0.00103697943538753	2.5	0.00517149035406898	0.994828509645931	99553.334075003	514.839106884276	496479.572607804	4234949.36399807	42.5395031050139
"Denmark"	"1996-2000"	"Female"	"High"	"45-49"	0.00178056948859858	2.5	0.00886339272635783	0.991136607273642	99038.4949681187	877.817075929866	492997.932150769	3738469.79139027	37.7476434046551
"Denmark"	"1996-2000"	"Female"	"High"	"50-54"	0.00288259516492704	2.5	0.0143098520488184	0.985690147951182	98160.6778921888	1404.66477764893	487291.727516822	3245471.8592395	33.0628509188175
"Denmark"	"1996-2000"	"Female"	"High"	"55-59"	0.00475474948143513	2.5	0.0234944715906451	0.976505528409355	96756.0131145399	2273.23140134364	478096.987069341	2758180.13172268	28.5065500627598
"Denmark"	"1996-2000"	"Female"	"High"	"60-64"	0.00780634325528995	2.5	0.0382845602301145	0.961715439769885	94482.7817131963	3617.23174720764	463370.829197962	2280083.14465334	24.13226096131
"Denmark"	"1996-2000"	"Female"	"High"	"65-69"	0.0137734623157904	2.5	0.0665748945749379	0.933425105425062	90865.5499659886	6049.36440947944	439204.338806245	1816712.31545538	19.9934113218418
"Denmark"	"1996-2000"	"Female"	"High"	"70-74"	0.0207721933034344	2.5	0.0987336788600703	0.90126632113993	84816.1855565092	8374.21402687251	403145.392715365	1377507.97664913	16.2410979415168
"Denmark"	"1996-2000"	"Female"	"High"	"75-79"	0.0339831420833845	2.5	0.156610424636518	0.843389575363482	76441.9715296367	11971.609621309	352280.833594911	974362.583933766	12.7464345102089
"Denmark"	"1996-2000"	"Female"	"High"	"80-84"	0.0592455951436633	2.5	0.25801268763451	0.74198731236549	64470.3619083277	16634.1713487372	280766.381169796	622081.750338855	9.64911211795912
"Denmark"	"1996-2000"	"Female"	"High"	"85-89"	0.104298194332241	2.5	0.413636992971373	0.586363007028627	47836.1905595905	19786.8180182746	189713.907752266	341315.369169059	7.13508674449893
"Denmark"	"1996-2000"	"Female"	"High"	"90+"	0.185020462726284	5.40480758325302	1	0	28049.3725413159	28049.3725413159	151601.461416793	151601.461416793	5.40480758325302
"Denmark"	"1996-2000"	"Female"	"Low"	"30-34"	0.00102939079947425	2.5	0.00513374242931223	0.994866257570688	1e+05	513.374242931226	498716.564392672	4814353.76698777	48.1435376698777
"Denmark"	"1996-2000"	"Female"	"Low"	"35-39"	0.0016340711580239	2.5	0.00813711423093372	0.991862885769066	99486.6257570688	809.534038235419	495409.293689755	4315637.2025951	43.3790689929843
"Denmark"	"1996-2000"	"Female"	"Low"	"40-44"	0.00235899170300277	2.5	0.0117258058184222	0.988274194181578	98677.0917188334	1157.06841622168	490492.787553613	3820227.90890534	38.7144355631249
"Denmark"	"1996-2000"	"Female"	"Low"	"45-49"	0.00369582558815498	2.5	0.0183099519682694	0.981690048031731	97520.0233026117	1785.58694261534	483136.14915652	3329735.12135173	34.1441173677668
"Denmark"	"1996-2000"	"Female"	"Low"	"50-54"	0.00520239070489209	2.5	0.0256779862322233	0.974322013767777	95734.4363599963	2458.26753880164	472526.512952978	2846598.97219521	29.7343263346844
"Denmark"	"1996-2000"	"Female"	"Low"	"55-59"	0.00770332022185666	2.5	0.0377888520390994	0.962211147960901	93276.1688211947	3524.79934235818	457568.845750078	2374072.45924223	25.4520794458571
"Denmark"	"1996-2000"	"Female"	"Low"	"60-64"	0.0127869310738379	2.5	0.0619541468552483	0.938045853144752	89751.3694788365	5560.46952515148	434855.673581304	1916503.61349215	21.3534748786654
"Denmark"	"1996-2000"	"Female"	"Low"	"65-69"	0.0200356946445195	2.5	0.0953999619554994	0.904600038044501	84190.899953685	8031.80865258082	400874.978136973	1481647.93991085	17.5986708863539
"Denmark"	"1996-2000"	"Female"	"Low"	"70-74"	0.0297600615127998	2.5	0.138496171133452	0.861503828866548	76159.0913011042	10547.7425422059	354426.100150006	1080772.96177387	14.190990770897
"Denmark"	"1996-2000"	"Female"	"Low"	"75-79"	0.0464572857480224	2.5	0.208115254162266	0.791884745837734	65611.3487588983	13654.7225228872	293919.937487274	726346.861623868	11.0704455153478
"Denmark"	"1996-2000"	"Female"	"Low"	"80-84"	0.0771252570023209	2.5	0.323291445466052	0.676708554533948	51956.6262360111	16797.1327973794	217790.299186607	432426.924136595	8.32284456216057
"Denmark"	"1996-2000"	"Female"	"Low"	"85-89"	0.129489249446625	2.5	0.489110022845434	0.510889977154566	35159.4934386317	17196.860639003	132805.315595651	214636.624949988	6.10465635190734
"Denmark"	"1996-2000"	"Female"	"Low"	"90+"	0.219508070216119	4.55564116169142	1	0	17962.6327996287	17962.6327996287	81831.3093543367	81831.3093543367	4.55564116169142
"Denmark"	"1996-2000"	"Male"	"Middle"	"30-34"	0.000894884996771168	2.5	0.00446443708942994	0.99553556291057	1e+05	446.443708942985	498883.890727643	4553935.70079429	45.5393570079429
"Denmark"	"1996-2000"	"Male"	"Middle"	"35-39"	0.00123305043214014	2.5	0.00614630539937877	0.993853694600621	99553.556291057	611.886560559084	496238.065053887	4055051.81006665	40.7323651825276
"Denmark"	"1996-2000"	"Male"	"Middle"	"40-44"	0.00240627038630171	2.5	0.011959408008189	0.988040591991811	98941.6697304979	1183.28379731852	491750.139159193	3558813.74501276	35.9688062138675
"Denmark"	"1996-2000"	"Male"	"Middle"	"45-49"	0.00383725667103321	2.5	0.0190039755255125	0.980996024474488	97758.3859331794	1857.79797368775	484147.434731678	3067063.60585357	31.3739182227292
"Denmark"	"1996-2000"	"Male"	"Middle"	"50-54"	0.00586089110044464	2.5	0.0288812804040001	0.971118719596	95900.5879594917	2769.73177176654	472578.610368042	2582916.17112189	26.9332673144081
"Denmark"	"1996-2000"	"Male"	"Middle"	"55-59"	0.00930585522421762	2.5	0.0454714004475693	0.954528599552431	93130.8561877251	4234.79045573705	455067.304799283	2110337.56075385	22.659917959951
"Denmark"	"1996-2000"	"Male"	"Middle"	"60-64"	0.0162358515432666	2.5	0.0780127491808758	0.921987250819124	88896.0657319881	6935.02647911622	427142.76246215	1655270.25595457	18.6202869871095
"Denmark"	"1996-2000"	"Male"	"Middle"	"65-69"	0.0271617131018787	2.5	0.127172975801792	0.872827024198208	81961.0392528719	10423.2292615952	383747.123110371	1228127.49349242	14.9842840535893
"Denmark"	"1996-2000"	"Male"	"Middle"	"70-74"	0.0432798011102543	2.5	0.195270801881133	0.804729198118867	71537.8099912766	13969.2455218167	322765.936151841	844380.370382045	11.8032739677803
"Denmark"	"1996-2000"	"Male"	"Middle"	"75-79"	0.0692060621648706	2.5	0.294992191045276	0.705007808954724	57568.5644694599	16982.2769681772	245387.129926856	521614.434230204	9.06075110674195
"Denmark"	"1996-2000"	"Male"	"Middle"	"80-84"	0.108543491647549	2.5	0.426879877258466	0.573120122741534	40586.2875012827	17325.4694269244	159617.763939103	276227.304303348	6.80592686124883
"Denmark"	"1996-2000"	"Male"	"Middle"	"85-89"	0.170336850981543	2.5	0.597320165051217	0.402679834948783	23260.8180743583	13894.155691402	81568.7011432865	116609.540364245	5.01313152407095
"Denmark"	"1996-2000"	"Male"	"Middle"	"90+"	0.267307022069092	3.7410165743477	1	0	9366.66238295628	9366.66238295628	35040.8392209585	35040.8392209585	3.7410165743477
"Denmark"	"1996-2000"	"Male"	"High"	"30-34"	0.000545095919456627	2.5	0.00272177053225606	0.997278229467744	1e+05	272.177053225605	499319.557366936	4874920.98462927	48.7492098462927
"Denmark"	"1996-2000"	"Male"	"High"	"35-39"	0.000580912380985576	2.5	0.00290034978218373	0.997099650217816	99727.8229467744	289.245569561346	497916.000809969	4375601.42726233	43.8754331336163
"Denmark"	"1996-2000"	"Male"	"High"	"40-44"	0.0013731141092269	2.5	0.00684208314388108	0.993157916856119	99438.577377213	680.367014124145	495491.969350755	3877685.42645236	38.9957854258377
"Denmark"	"1996-2000"	"Male"	"High"	"45-49"	0.00220505141341355	2.5	0.0109648121308504	0.98903518786915	98758.2103630889	1082.86522301027	491083.888757919	3382193.45710161	34.2472129118867
"Denmark"	"1996-2000"	"Male"	"High"	"50-54"	0.00386168955433255	2.5	0.019123822111446	0.980876177888554	97675.3451400786	1867.92592513296	483706.910887561	2891109.56834369	29.5991743279481
"Denmark"	"1996-2000"	"Male"	"High"	"55-59"	0.00614161263704495	2.5	0.030243700452992	0.969756299547008	95807.4192149457	2897.57088791103	471793.168854951	2407402.65745613	25.1275180688781
"Denmark"	"1996-2000"	"Male"	"High"	"60-64"	0.0111139456286795	2.5	0.0540674708160725	0.945932529183928	92909.8483270346	5023.40051294767	451990.740352804	1935609.48860118	20.8332003921479
"Denmark"	"1996-2000"	"Male"	"High"	"65-69"	0.0201816212078326	2.5	0.0960614181544614	0.903938581845539	87886.447814087	8442.49681357926	418325.997036487	1483618.74824837	16.8810867334949
"Denmark"	"1996-2000"	"Male"	"High"	"70-74"	0.0321376400485899	2.5	0.148737981005202	0.851262018994798	79443.9510005077	11816.3328748917	367678.922815309	1065292.75121188	13.4093626738816
"Denmark"	"1996-2000"	"Male"	"High"	"75-79"	0.0537440275621267	2.5	0.236891393814624	0.763108606185376	67627.618125616	16020.4007181403	298087.088832729	697613.828396576	10.3155167627046
