"x","mx","lx","year"
84,0.132133786594096,24973.5376369533,1998
85,0.147584533140927,21882.4070548656,1998
86,0.160842138172035,18879.9110620613,1998
87,0.165695334866534,16074.8559962078,1998
88,0.212731441094817,13620.2952337305,1998
89,0.204090477485038,11010.2816960212,1998
90,0.227619176008213,8977.65810660302,1998
91,0.258256594890258,7150.05380879874,1998
92,0.301878681894118,5522.68020863905,1998
93,0.274900657937594,4083.62308582648,1998
94,0.31055900621118,3102.11441288868,1998
95,0.333780059170101,2273.96485815347,1998
96,0.41878552198624,1628.6393022233,1998
97,0.431699044094974,1071.39266718082,1998
98,0.479982546089233,695.767529485801,1998
99,0.365384615384615,430.536906290969,1998
100,0.594594594594595,298.762347730635,1998
101,0.533333333333333,164.85294582909,1998
102,0.38971161340608,96.7103574457277,1998
103,0.489596083231334,65.4972981631935,1998
104,0.8,40.141584187429,1998
105,0.598802395209581,18.0367764409617,1998
106,2,9.91065473163142,1998
107,2,1.34126126516561,1998
108,2,0.181519973215486,1998
109,2,0.0245660569882201,1998
0,0.00495174974032614,1e+05,1999
1,0.000349338367687365,99506.0489961439,1999
2,0.000339772782614506,99471.2937864301,1999
3,8.42200298812666e-05,99437.5018892586,1999
4,0.000217783907184854,99429.127612524,1999
5,0.000168787671298388,99407.4759064067,1999
6,0.000168261788420897,99390.6985659828,1999
7,0.000201253348352583,99373.976316187,1999
8,8.84190757671902e-05,99353.9789830468,1999
9,0.000120575191895418,99345.1945844113,1999
10,3.11298291314809e-05,99333.2167406403,1999
11,0.000194884097555082,99330.1245627058,1999
12,0.000199702908639581,99310.7685871676,1999
13,0.000306713968776518,99290.9379180086,1999
14,0.000316692658923414,99260.4886702197,1999
15,0.000216763632264833,99229.0585792389,1999
16,0.00017973631245073,99207.5516591183,1999
17,0.000662097958438369,99189.7220619769,1999
18,0.00102236142998375,99124.0704857872,1999
19,0.000865013657604527,99022.781645064,1999
20,0.00104485790086204,98937.1626226776,1999
21,0.000900017910356416,98833.8413340547,1999
22,0.000705194995231119,98744.9291239973,1999
23,0.000759838002537859,98675.3192413297,1999
24,0.000890010884309579,98600.370461929,1999
25,0.0012391194764272,98512.65409907,1999
26,0.00113013853443635,98390.6607484788,1999
27,0.000767574104327682,98279.5284805958,1999
28,0.00102643164119234,98204.1206038176,1999
29,0.000896190085080069,98103.3725014998,1999
30,0.00104894129843071,98015.4926161738,1999
31,0.00109038808365748,97912.7340213714,1999
32,0.000955615228417597,97806.0293282913,1999
33,0.00109959009480446,97712.6090412679,1999
34,0.00119755094054069,97605.2242746613,1999
35,0.00135919207779923,97488.4070078043,1999
36,0.00103793633153714,97355.9915467303,1999
37,0.00141472169321835,97254.9946492528,1999
38,0.00182813546179083,97117.5031775642,1999
39,0.00147814408378017,96940.1214143925,1999
40,0.00197321894626951,96796.9357979994,1999
41,0.00194660668312163,96606.1225703923,1999
42,0.00233375594419439,96418.2513615663,1999
43,0.00236365890195963,96193.4970571782,1999
44,0.0035559462640373,95966.3969408859,1999
45,0.00348729284139256,95625.7516074093,1999
46,0.00341599330994923,95292.8573955433,1999
47,0.00403010018774235,94967.8929863192,1999
48,0.00436867728933614,94585.9330483477,1999
49,0.00490362895338337,94173.6189201953,1999
50,0.00472235813577042,93712.9568169006,1999
51,0.00570262006754492,93271.4539606355,1999
52,0.00572805988733564,92741.0760048555,1999
53,0.00636293779160078,92211.3681150799,1999
54,0.00760794288807786,91626.4956429718,1999
55,0.00817676321644944,90932.051492382,1999
56,0.00903267205815559,90191.5532038979,1999
57,0.0098164848793307,89380.5507550477,1999
58,0.0105599543974008,88507.4403787685,1999
59,0.0117046735640135,87577.7233687358,1999
60,0.0130072602496295,86558.6304149685,1999
61,0.013233749994801,85440.0305134982,1999
62,0.0155957208199301,84316.7872632645,1999
63,0.0173700275164619,83012.00712835,1999
64,0.0193496529803865,81582.537187639,1999
65,0.0221403992273137,80019.1179927965,1999
66,0.0231825766241398,78266.9314057374,1999
67,0.0280054270900944,76473.3722580724,1999
68,0.0304580564287582,74361.4139866224,1999
69,0.0314576943489169,72130.6545933951,1999
70,0.0360448150214671,69896.9089557816,1999
71,0.0380400038532608,67422.3531667577,1999
72,0.0405149701683069,64905.7753659255,1999
73,0.0497748977208027,62328.6778358357,1999
74,0.0516415999883076,59302.2199101959,1999
75,0.0566357221280083,56317.4898010426,1999
76,0.0653975726205881,53216.5489484343,1999
77,0.0701971297173627,49847.6745221355,1999
78,0.0777001961949017,46468.5024354257,1999
79,0.084812248639453,42994.5997200812,1999
80,0.0918976260445863,39498.4832036506,1999
81,0.102715711223996,36030.4583210028,1999
82,0.112578860934764,32513.2901680046,1999
83,0.123524013374573,29051.4987212141,1999
84,0.134811706253368,25675.7267121378,1999
85,0.152049353267143,22437.5154186607,1999
86,0.163099207919193,19272.6116037568,1999
87,0.174471368738807,16372.2166621689,1999
88,0.182877735309171,13751.0395309498,1999
89,0.222664106092453,11452.8280205353,1999
90,0.23749443372421,9166.65627258675,1999
91,0.250146467339429,7228.83687484179,1999
92,0.27704896978148,5628.9992938905,1999
93,0.316031785254451,4266.87927570368,1999
94,0.345469040659049,3110.7097824028,1999
95,0.386296635152994,2202.03489546967,1999
96,0.398931303297588,1496.43445755162,1999
97,0.406527672919449,1004.16258649101,1999
98,0.631136044880785,668.730776888623,1999
99,0.442477876106195,355.756144249333,1999
100,0.53475935828877,228.552885963158,1999
101,0.512820512820513,133.88862179332,1999
102,1.01325019485581,80.1730770483073,1999
103,0.599700149925038,29.1058028807025,1999
104,1,15.9783937031008,1999
